probe                        split           n  gm   pos    AUC   95%CI(game-boot) | AUCstrat            95%CI    pairs
A_commit_None                train        7340  50 0.367  0.737 [ 0.721, 0.753] |    0.705 [ 0.687, 0.724]    22641
A_commit_None                val          1592  10 0.395  0.660 [ 0.606, 0.713] |    0.593 [ 0.558, 0.629]     5334
A_commit_None                ho_seen      3967  25 0.390  0.668 [ 0.648, 0.689] |    0.594 [ 0.564, 0.622]    12249
A_commit_None                ho_unseen    3341  21 0.386  0.687 [ 0.661, 0.709] |    0.590 [ 0.563, 0.614]    10224

Acrop_commit_None            train        7340  50 0.367  0.783 [ 0.770, 0.796] |    0.746 [ 0.727, 0.764]    22641
Acrop_commit_None            val          1592  10 0.395  0.719 [ 0.673, 0.763] |    0.660 [ 0.613, 0.696]     5334
Acrop_commit_None            ho_seen      3967  25 0.390  0.715 [ 0.697, 0.732] |    0.642 [ 0.614, 0.670]    12249
Acrop_commit_None            ho_unseen    3341  21 0.386  0.708 [ 0.681, 0.732] |    0.605 [ 0.577, 0.631]    10224

Acrop_commit_None_level      train        7340  50 0.696  0.973 [ 0.967, 0.979] |    0.733 [ 0.661, 0.804]     1874
Acrop_commit_None_level      val          1592  10 0.652  0.957 [ 0.933, 0.973] |    0.666 [ 0.602, 0.723]      359
Acrop_commit_None_level      ho_seen      3967  25 0.699  0.950 [ 0.941, 0.959] |    0.706 [ 0.573, 0.814]      579
Acrop_commit_None_level      ho_unseen    3341  21 0.695  0.956 [ 0.940, 0.967] |    0.630 [ 0.522, 0.704]      972

Acrop_gold_None              train        4821  50 0.190  0.875 [ 0.861, 0.888] |    0.824 [ 0.798, 0.848]     7565
Acrop_gold_None              val           911  10 0.204  0.753 [ 0.718, 0.782] |    0.618 [ 0.557, 0.666]     1216
Acrop_gold_None              ho_seen      2421  25 0.188  0.782 [ 0.761, 0.805] |    0.678 [ 0.632, 0.722]     3321
